######## ELECTION INFO ########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bishop City Treasurer,Targeted,11,Yes,0.0150283606,2020-11-24T16:50:49.813440+00:00,2020-11-25T00:20:04.903212+00:00,NICK LARA: 8; Write-in: 0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Big Pine Fire Protection District,Targeted,140,Yes,0.0367748926,2020-11-24T16:50:49.813440+00:00,2020-11-25T00:20:04.903212+00:00,CAROL K. OZA: 25; JERI FAYE STOUT: 76; MICHAEL CARRINGTON: 80; KERRY KOONTZ: 76; Write-in: 0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Director, Zone 1 Northern Inyo Healthcare District",Targeted,172,Yes,0.0369354669,2020-11-24T16:50:49.813440+00:00,2020-11-25T00:20:04.903212+00:00,JODY VEENKER: 78; KYLE WAKAMIYA: 65; Write-in: 0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Measure P - The Bishop Community Safety And Essential Services Measure,Targeted,20,Yes,0.0259377838,2020-11-24T16:50:49.813440+00:00,2020-11-25T00:20:04.903212+00:00,YES: 16; NO: 4,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
######## SAMPLED BALLOTS ########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction Name,Container,Tabulator,Batch Name,Ballot Position,Imprinted ID,Ticket Numbers: Governing Board Member Big Pine Unified School,Ticket Numbers: Governing Board Member Lone Pine Unified School,"Ticket Numbers: County Supervisor, 4th District",Ticket Numbers: Bishop City Treasurer,Ticket Numbers: Big Pine Fire Protection District,"Ticket Numbers: Director, Zone 1 Northern Inyo Healthcare District",Ticket Numbers: Measure P - The Bishop Community Safety And Essential Services Measure,Audited?,Audit Result: Governing Board Member Big Pine Unified School,CVR Result: Governing Board Member Big Pine Unified School,Discrepancy: Governing Board Member Big Pine Unified School,Audit Result: Governing Board Member Lone Pine Unified School,CVR Result: Governing Board Member Lone Pine Unified School,Discrepancy: Governing Board Member Lone Pine Unified School,"Audit Result: County Supervisor, 4th District","CVR Result: County Supervisor, 4th District","Discrepancy: County Supervisor, 4th District",Audit Result: Bishop City Treasurer,CVR Result: Bishop City Treasurer,Discrepancy: Bishop City Treasurer,Audit Result: Big Pine Fire Protection District,CVR Result: Big Pine Fire Protection District,Discrepancy: Big Pine Fire Protection District,"Audit Result: Director, Zone 1 Northern Inyo Healthcare District","CVR Result: Director, Zone 1 Northern Inyo Healthcare District","Discrepancy: Director, Zone 1 Northern Inyo Healthcare District",Audit Result: Measure P - The Bishop Community Safety And Essential Services Measure,CVR Result: Measure P - The Bishop Community Safety And Essential Services Measure,Discrepancy: Measure P - The Bishop Community Safety And Essential Services Measure
Inyo County,101,2,40,26,2-40-26,,,,,,Round 1: 0.031076785376728041,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,40,28,2-40-28,,,,,,Round 1: 0.021826135722965789,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,40,45,2-40-45,,,,,,Round 1: 0.034623708282185027,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,40,49,2-40-49,,,,,,Round 1: 0.090637005933095012,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,40,53,2-40-53,,,,,,Round 1: 0.049162872653210574,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,40,59,2-40-59,,,,,,Round 1: 0.081861274452917595,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,40,61,2-40-61,,,,,,Round 1: 0.073496959644001595,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,40,72,2-40-72,,,,,,Round 1: 0.078147659105285294,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,40,86,2-40-86,,,,,,Round 1: 0.063680993788903031,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,40,94,2-40-94,,,,,,Round 1: 0.080473546572654191,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,41,4,2-41-4,,,,,,Round 1: 0.030220624910194714,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,41,13,2-41-13,,,,,,Round 1: 0.042095370899872556,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,41,15,2-41-15,,,,,,Round 1: 0.042640183883631647,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,41,34,2-41-34,,,,,,Round 1: 0.016711877638019878,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,41,54,2-41-54,,,,,,Round 1: 0.044701761238349748,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,41,59,2-41-59,,,,,,Round 1: 0.018700560907512838,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,41,64,2-41-64,,,,,,Round 1: 0.079604882229020604,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,41,80,2-41-80,,,,,,Round 1: 0.002683565754109176,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,41,97,2-41-97,,,,,,Round 1: 0.045575274370591951,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,69,1,2-69-1,,,,,,Round 1: 0.043059359341075747,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,2,69,5,2-69-5,,,,,,Round 1: 0.025502455815152647,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,4,4,20,4-4-20,,,,,,Round 1: 0.012856065548033822,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,4,4,47,4-4-47,,,,,,Round 1: 0.046538757982476614,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,3,3,5-3-2003,,,,,,Round 1: 0.038238258816368574,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,3,5,5-3-2005,,,,,,Round 1: 0.071463210781868071,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,3,9,5-3-2009,,,,,,Round 1: 0.018630038868564837,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,3,15,5-3-15,,,,,,Round 1: 0.047006599280431533,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,3,25,5-3-25,,,,,,Round 1: 0.098552120793225077,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,3,26,5-3-26,,,,,,"Round 1: 0.020864698399907877, 0.093500835116259617",,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,3,28,5-3-28,,,,,,Round 1: 0.002612867440906136,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,3,40,5-3-40,,,,,,Round 1: 0.068336539111975627,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,3,41,5-3-41,,,,,,Round 1: 0.013837038107067444,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,3,54,5-3-54,,,,,,Round 1: 0.068371569362446543,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,3,78,5-3-78,,,,,,Round 1: 0.036422185928406589,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,3,104,5-3-0104,,,,,,Round 1: 0.019935097545359592,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,3,112,5-3-0112,,,,,,Round 1: 0.094008238069974133,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,3,115,5-3-0115,,,,,,Round 1: 0.097833528324670744,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,3,120,5-3-0120,,,,,,Round 1: 0.076907333772170750,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,4,17,5-4-17,,,,,,Round 1: 0.060996532582910879,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,4,29,5-4-29,,,,,,Round 1: 0.025037554493476069,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,4,35,5-4-35,,,,,,Round 1: 0.029324706593142390,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,4,43,5-4-43,,,,,,Round 1: 0.058455434311750804,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,4,46,5-4-46,,,,,,Round 1: 0.036420119883297327,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,4,76,5-4-76,,,,,,Round 1: 0.070577297542515637,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,4,104,5-4-0104,,,,,,Round 1: 0.089316838316699353,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,4,105,5-4-0105,,,,,,Round 1: 0.048987532082872427,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,4,106,5-4-0106,,,,,,Round 1: 0.013458636555591087,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,4,107,5-4-0107,,,,,,Round 1: 0.059469229532590822,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,4,128,5-4-0128,,,,,,Round 1: 0.094409083871519649,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,4,131,5-4-0131,,,,,,Round 1: 0.057692843710277197,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,4,135,5-4-0135,,,,,,Round 1: 0.087812018803665964,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,5,10,5-5-10,,,,,,Round 1: 0.080307688229571276,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,JODY VEENKER,JODY VEENKER,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,5,11,5-5-11,,,,,,Round 1: 0.021196757968315387,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,KYLE WAKAMIYA,KYLE WAKAMIYA,,CONTEST_NOT_ON_BALLOT,,
Inyo County,101,5,5,20,5-5-20,,,,,,Round 1: 0.079326208900939873,,AUDITED,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,CONTEST_NOT_ON_BALLOT,,,BLANK,,,CONTEST_NOT_ON_BALLOT,,
